nm 	intensidad	
199.325	31.88	
200.127	38.88	
200.928	36.88	
201.73	37.88	
202.531	39.88	
203.333	39.88	
204.134	42.88	
204.935	45.88	
205.736	49.88	
206.537	47.88	
207.338	45.88	
208.139	52.88	
208.94	55.88	
209.741	53.88	
210.542	60.88	
211.343	62.88	
212.144	66.88	
212.944	68.88	
213.745	72.88	
214.545	74.88	
215.346	80.88	
216.146	85.88	
216.946	98.88	
217.747	103.88	
218.547	128.88	
219.347	153.88	
220.147	169.88	
220.947	189.88	
221.747	218.88	
222.547	237.88	
223.347	270.88	
224.147	296.88	
224.947	337.88	
225.746	381.88	
226.546	425.88	
227.346	479.88	
228.145	511.88	
228.945	539.88	
229.744	579.88	
230.543	636.88	
231.343	694.88	
232.142	767.88	
232.941	860.88	
233.74	946.88	
234.539	979.88	
235.338	1000.88	
236.137	1141.88	
236.936	1311.88	
237.735	1359.88	
238.533	1325.88	
239.332	1386.88	
240.131	1417.88	
240.929	1427.88	
241.728	1463.88	
242.526	1410.88	
243.325	1452.88	
244.123	1447.88	
244.921	1251.88	
245.719	1085.88	
246.518	896.88	
247.316	758.88	
248.114	757.88	
248.912	824.88	
249.71	931.88	
250.507	1136.88	
251.305	1659.88	
252.103	3250.88	
252.901	15223.88	
253.698	60000.88	
254.496	63159.88	
255.293	59040.88	
256.091	58159.88	
256.888	23207.88	
257.685	3817.88	
258.483	2193.88	
259.28	1228.88	
260.077	693.88	
260.874	418.88	
261.671	296.88	
262.468	222.88	
263.265	193.88	
264.062	179.88	
264.858	224.88	
265.655	454.88	
266.452	747.88	
267.248	365.88	
268.045	140.88	
268.841	114.88	
269.638	104.88	
270.434	116.88	
271.23	124.88	
272.027	93.88	
272.823	82.88	
273.619	71.88	
274.415	75.88	
275.211	94.88	
276.007	154.88	
276.803	162.88	
277.598	86.88	
278.394	72.88	
279.19	68.88	
279.985	94.88	
280.781	174.88	
281.576	244.88	
282.372	147.88	
283.167	122.88	
283.962	109.88	
284.758	77.88	
285.553	72.88	
286.348	73.88	
287.143	74.88	
287.938	70.88	
288.733	90.88	
289.528	188.88	
290.323	371.88	
291.117	215.88	
291.912	91.88	
292.707	93.88	
293.501	140.88	
294.296	102.88	
295.09	78.88	
295.885	120.88	
296.679	364.88	
